Rent,Beds,Baths,Area_in_sqft,log_area,property_rank_in_location,area_deviation_from_location,location_type_premium,furnishing_type_premium,bath_bed_ratio,area_per_bedroom,type_room_premium,Location,Type,Furnishing
38000,1,1,1100,7.00397413672268,0.3453289712831697,-0.4259049456734275,0.3943848198900072,0.9962982747044148,0.5,550.0,0.7630233435089949,Khalifa City,Apartment,Unfurnished
209039,2,3,2022,7.612336837167746,0.9734187568157032,1.0476227901355024,0.8446181966312187,0.9962982747044148,1.0,674.0,0.7630233435089949,Al Reem Island,Apartment,Unfurnished
170000,5,8,4500,8.412054873292933,0.7933507170795306,-0.031058857324586,1.5039820630372145,0.9962982747044148,1.3333333333333333,750.0,1.73912046358283,Madinat Al Riyadh,Villa,Unfurnished
47000,1,1,1450,7.280008252884188,0.2913826679649464,-0.565247419328528,0.4215707343675354,0.9962982747044148,0.5,725.0,0.7630233435089949,Mohammed Bin Zayed City,Apartment,Unfurnished
40000,1,1,1000,6.90875477931522,0.0791925465838509,-0.7906327989989024,0.6391582761423564,0.9962982747044148,0.5,500.0,0.7630233435089949,Hamdan Street,Apartment,Unfurnished
75000,2,2,1400,7.244941546337007,0.6313131313131313,-0.3283839566104859,0.5425077360212841,0.9962982747044148,0.6666666666666666,466.6666666666667,0.7630233435089949,Al Muroor,Apartment,Unfurnished
130000,4,5,2800,7.937731775260109,0.4061181434599156,0.8603047217855594,1.2711613404964932,0.9962982747044148,1.0,560.0,0.7630233435089949,Corniche Road,Apartment,Unfurnished
85000,2,3,1600,7.378383712996715,0.2457886676875957,-0.243626281467264,1.013489831002807,0.9962982747044148,1.0,533.3333333333334,0.7630233435089949,Corniche Area,Apartment,Unfurnished
120000,4,6,4500,8.412054873292933,0.8932496075353218,0.7598970897350646,1.7011912907266526,0.9962982747044148,1.2,900.0,1.73912046358283,Al Shamkha,Villa,Unfurnished
330000,4,5,3819,8.24800570160062,0.9227504244482172,1.2629318620954872,2.6564852983480995,0.9962982747044148,1.0,763.8,1.73912046358283,Yas Island,Villa,Unfurnished
